time_iso8601,stars_cumulative
2017-02-09 00:00:00+00:00,1
2017-07-14 00:00:00+00:00,2
2017-12-06 00:00:00+00:00,3
2018-02-05 00:00:00+00:00,4
2018-04-27 00:00:00+00:00,5
2018-04-29 00:00:00+00:00,6
2018-05-15 00:00:00+00:00,7
2018-06-03 00:00:00+00:00,8
2018-07-30 00:00:00+00:00,9
2018-08-03 00:00:00+00:00,10
2018-08-29 00:00:00+00:00,11
2018-09-01 00:00:00+00:00,12
2018-09-13 00:00:00+00:00,13
2018-11-07 00:00:00+00:00,14
2018-12-18 00:00:00+00:00,15
2019-06-17 00:00:00+00:00,17
2019-07-27 00:00:00+00:00,18
2019-07-28 00:00:00+00:00,19
2019-08-14 00:00:00+00:00,20
2019-10-31 00:00:00+00:00,21
2020-05-11 00:00:00+00:00,22
2021-03-20 00:00:00+00:00,23
2021-06-02 00:00:00+00:00,24
2021-11-26 00:00:00+00:00,25
2022-03-06 00:00:00+00:00,26
2022-06-24 00:00:00+00:00,28
2022-10-04 00:00:00+00:00,29
2022-11-08 00:00:00+00:00,30
2023-01-11 00:00:00+00:00,31
2023-01-12 00:00:00+00:00,32
2023-01-16 00:00:00+00:00,33
2023-03-07 00:00:00+00:00,34
2023-04-25 00:00:00+00:00,35
2023-04-26 00:00:00+00:00,36
2023-06-28 00:00:00+00:00,37
2023-08-28 00:00:00+00:00,39
2023-09-14 00:00:00+00:00,40
