time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-29 00:00:00+00:00,6,3,0,0
2022-12-30 00:00:00+00:00,0,0,5,2
2022-12-31 00:00:00+00:00,1,1,0,0
2023-01-01 00:00:00+00:00,0,0,2,1
2023-01-03 00:00:00+00:00,6,3,12,2
2023-01-04 00:00:00+00:00,2,1,5,2
2023-01-05 00:00:00+00:00,2,1,0,0
2023-01-06 00:00:00+00:00,2,1,7,1
2023-01-07 00:00:00+00:00,0,0,1,1
2023-01-08 00:00:00+00:00,0,0,1,1
2023-01-10 00:00:00+00:00,1,1,0,0
2023-01-11 00:00:00+00:00,9,7,14,7
2023-01-12 00:00:00+00:00,1,1,18,4
